Unnamed: 0,source,target,weight,loss
0,SEAT,BOIS,495677.63475975656,594.8131617117078
1,SEAT,SACR,683059.7358644174,819.6716830373008
3,SACR,SALT,855647.0895422846,1026.7765074507415
4,SACR,DENV,1434082.3232941004,1720.8987879529202
6,BOIS,SALT,548009.0734290794,657.6108881148951
9,EQXSV5,LOSA,476680.1541455851,572.016184974702
10,LOSA,SAND,172733.35867878792,207.28003041454548
11,LOSA,LASV,375366.6425915682,450.43997110988187
12,LASV,SALT,572414.0007603425,686.8968009124109
13,SALT,DENV,603800.0210076076,724.560025209129
15,SAND,ELPA,1009221.6269297502,1211.0659523157
16,ELPA,ALBQ,369859.0384959616,443.8308461951539
17,ALBQ,DENV,537675.6958325276,645.2108349990331
18,DENV,KANS,897624.3712741294,1077.1492455289551
19,ELPA,HOUS,1077557.4449081006,1293.0689338897207
20,KANS,EQXDA3,775309.7370152816,930.3716844183378
21,EQXDA3,HOUS,836145.644329616,1003.3747731955392
23,HOUS,NASH,1058289.583004846,1269.947499605815
51,BOIS,SEAT,495677.63475975656,594.8131617117078
52,SACR,SEAT,683059.7358644174,819.6716830373008
54,SALT,SACR,855647.0895422846,1026.7765074507415
55,DENV,SACR,1434082.3232941004,1720.8987879529202
57,SALT,BOIS,548009.0734290794,657.6108881148951
60,LOSA,EQXSV5,476680.1541455851,572.016184974702
61,SAND,LOSA,172733.35867878792,207.28003041454548
62,LASV,LOSA,375366.6425915682,450.43997110988187
63,SALT,LASV,572414.0007603425,686.8968009124109
64,DENV,SALT,603800.0210076076,724.560025209129
66,ELPA,SAND,1009221.6269297502,1211.0659523157
67,ALBQ,ELPA,369859.0384959616,443.8308461951539
68,DENV,ALBQ,537675.6958325276,645.2108349990331
69,KANS,DENV,897624.3712741294,1077.1492455289551
70,HOUS,ELPA,1077557.4449081006,1293.0689338897207
71,EQXDA3,KANS,775309.7370152816,930.3716844183378
72,HOUS,EQXDA3,836145.644329616,1003.3747731955392
74,NASH,HOUS,1058289.583004846,1269.947499605815
